中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
姬松茸,,,,,,,,11/13/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,傘菌科,Agaricaceae,,,傘菌屬,Agaricus,姬松茸,Agaricus subrufescens,姬松茸：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 傘菌科(Agaricaceae) > 傘菌屬(Agaricus) > 姬松茸(Agaricus subrufescens)
雞腿菇,,,,,,,,8/30/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,傘菌科,Agaricaceae,,,鬼傘屬,Coprinus,,,雞腿菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 傘菌科(Agaricaceae) > 鬼傘屬(Coprinus)
雞㙡,,,,,,,,11/20/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,,Lyophyllaceae,,,蟻傘屬,Termitomyces,,,雞㙡：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 蟻傘屬(Termitomyces)
茶樹菇,,,,,,,,9/22/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,糞傘科,Bolbitiaceae,,,田頭菇屬,Agrocybe,茶樹菇,Agrocybe aegerita,茶樹菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 糞傘科(Bolbitiaceae) > 田頭菇屬(Agrocybe) > 茶樹菇(Agrocybe aegerita)
海鮮菇/蟹味菇,,,,,,,,9/19/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,離褶傘科,Lyophyllaceae,,,玉蕈屬,Hypsizygus,,,海鮮菇/蟹味菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 離褶傘科(Lyophyllaceae) > 玉蕈屬(Hypsizygus)
香菇,,,,,,,,9/4/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,光茸菌科,Omphalotaceae,,,香菇屬,Lentinula,香菇,Lentinula edodes,香菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 光茸菌科(Omphalotaceae) > 香菇屬(Lentinula) > 香菇(Lentinula edodes)
榛蘑/蜜環菌,,,,,,,,12/9/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,膨瑚菌科,Physalacriaceae,,,榛蘑屬,Armillaria,榛蘑,Armillaria mellea,榛蘑/蜜環菌：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 膨瑚菌科(Physalacriaceae) > 榛蘑屬(Armillaria) > 榛蘑(Armillaria mellea)
金針菇,,,,,,,,8/31/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,膨瑚菌科,Physalacriaceae,,,小火菇屬,Flammulina,金針菇,Flammulina velutipes,金針菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 膨瑚菌科(Physalacriaceae) > 小火菇屬(Flammulina) > 金針菇(Flammulina velutipes)
草菇,,,,,,,,9/8/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,光柄菇科,Pluteaceae,,,小包腳菇屬,Volvariella,草菇,Volvariella volvacea,草菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 光柄菇科(Pluteaceae) > 小包腳菇屬(Volvariella) > 草菇(Volvariella volvacea)
杏鮑菇,,,,,,,,10/25/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,側耳科,Pleurotaceae,,,側耳屬,Pleurotus,杏鮑菇,Pleurotus eryngii,杏鮑菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 側耳科(Pleurotaceae) > 側耳屬(Pleurotus) > 杏鮑菇(Pleurotus eryngii)
