中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
灣鱷,saltwater crocodile,,,,,,,10/18/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,,,,,鱷目,Crocodylia,鱷科,Crocodylidae,,,鱷屬,Crocodylus,灣鱷,Crocodylus porosus,灣鱷：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 鱷目(Crocodylia) > 鱷科(Crocodylidae) > 鱷屬(Crocodylus) > 灣鱷(Crocodylus porosus)
鱉/甲魚/王八,,,,,,,,11/9/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,,,,,龜鱉目,Testudines,鱉科,Trionychidae,,,中華鱉屬,Pelodiscus,中華鱉,Pelodiscus sinensis,鱉/甲魚/王八：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 龜鱉目(Testudines) > 鱉科(Trionychidae) > 中華鱉屬(Pelodiscus) > 中華鱉(Pelodiscus sinensis)
牛蛙,,,,,,,,9/21/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,兩棲綱,Amphibia,,,無尾目,Anura,蛙科,Ranidae,,,蛙屬,Rana,美國牛蛙,Rana catesbeiana,牛蛙：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 兩棲綱(Amphibia) > 無尾目(Anura) > 蛙科(Ranidae) > 蛙屬(Rana) > 美國牛蛙(Rana catesbeiana)
鴨,,,,,,,,8/27/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雁形目,Anseriformes,鴨科,Anatidae,鴨亞科,Anatinae,鴨屬,Anas,綠頭鴨,Anas platyrhynchos,鴨：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 鳥綱(Aves) > 今顎總目(Neognathae) > 雁形目(Anseriformes) > 鴨科(Anatidae) > 鴨亞科(Anatinae) > 鴨屬(Anas) > 綠頭鴨(Anas platyrhynchos)
鵝,,,,,,,,9/24/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雁形目,Anseriformes,鴨科,Anatidae,雁亞科,Anserinae,雁屬,Anser,鴻雁,Anser cygnoides,鵝：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 鳥綱(Aves) > 今顎總目(Neognathae) > 雁形目(Anseriformes) > 鴨科(Anatidae) > 雁亞科(Anserinae) > 雁屬(Anser) > 鴻雁(Anser cygnoides)
鴿,pigeon/dove,,,,,,,10/22/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,鴿形目,Columbiformes,鳩鴿科,Columbidae,,,鴿屬,Columba,原鴿,Columba livia,鴿：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 鳥綱(Aves) > 今顎總目(Neognathae) > 鴿形目(Columbiformes) > 鳩鴿科(Columbidae) > 鴿屬(Columba) > 原鴿(Columba livia)
鵪鶉（鵪鶉蛋）,,,,,,,,8/26/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雞形目,Galliformes,雉科,Phasianidae,鶉亞科,Perdicinae,鶉屬,Cortunix,,,鵪鶉（鵪鶉蛋）：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 鳥綱(Aves) > 今顎總目(Neognathae) > 雞形目(Galliformes) > 雉科(Phasianidae) > 鶉亞科(Perdicinae) > 鶉屬(Cortunix)
雞,,,,,,,,8/26/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雞形目,Galliformes,雉科,Phasianidae,雉亞科,Phasianinae,原雞屬,Gallus,原雞,Gallus gallus,雞：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 鳥綱(Aves) > 今顎總目(Neognathae) > 雞形目(Galliformes) > 雉科(Phasianidae) > 雉亞科(Phasianinae) > 原雞屬(Gallus) > 原雞(Gallus gallus)
火雞,,,,,,,,10/23/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,鳥綱,Aves,今顎總目,Neognathae,雞形目,Galliformes,雉科,Phasianidae,火雞亞科,Meleagridinae,火雞屬,Meleagris,火雞,Meleagris gallopavo,火雞：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 鳥綱(Aves) > 今顎總目(Neognathae) > 雞形目(Galliformes) > 雉科(Phasianidae) > 火雞亞科(Meleagridinae) > 火雞屬(Meleagris) > 火雞(Meleagris gallopavo)
大吻斜齒鯊,,,,,,,,12/20/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輭骨魚綱,Chondrichthyes,板鰓亞綱,Elasmobranchii,眞鯊目,Carcharhiniformes,眞鯊科,Carcharhinidae,,,斜齒鯊屬,Scoliodon,大吻斜齒鯊,Scoliodon macrorhynchos,大吻斜齒鯊：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 輭骨魚綱(Chondrichthyes) > 板鰓亞綱(Elasmobranchii) > 眞鯊目(Carcharhiniformes) > 眞鯊科(Carcharhinidae) > 斜齒鯊屬(Scoliodon) > 大吻斜齒鯊(Scoliodon macrorhynchos)
家兔,,,,,,,,10/22/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,靈長總目,Euarchontoglires,兔形目,Lagomorpha,兔科,Leporidae,,,穴兔屬,Oryctolagus,穴兔,Oryctolagus cuniculus,家兔：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 靈長總目(Euarchontoglires) > 兔形目(Lagomorpha) > 兔科(Leporidae) > 穴兔屬(Oryctolagus) > 穴兔(Oryctolagus cuniculus)
氂牛,,,,,,,,9/21/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,牛科,Bovidae,牛亞科,Bovinae,牛屬,Bos,氂牛,Bos grunniens,氂牛：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 勞亞獸總目(Laurasiatheria) > 鯨偶蹄目(Cetartiodactyla) > 牛科(Bovidae) > 牛亞科(Bovinae) > 牛屬(Bos) > 氂牛(Bos grunniens)
黃牛,,,,,,,,8/26/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,牛科,Bovidae,牛亞科,Bovinae,牛屬,Bos,黃牛,Bos taurus,黃牛：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 勞亞獸總目(Laurasiatheria) > 鯨偶蹄目(Cetartiodactyla) > 牛科(Bovidae) > 牛亞科(Bovinae) > 牛屬(Bos) > 黃牛(Bos taurus)
水牛,buffalo,,,,,,,12/8/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,牛科,Bovidae,牛亞科,Bovinae,水牛屬,Bubalus,水牛,Bubalus bubalis,水牛：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 勞亞獸總目(Laurasiatheria) > 鯨偶蹄目(Cetartiodactyla) > 牛科(Bovidae) > 牛亞科(Bovinae) > 水牛屬(Bubalus) > 水牛(Bubalus bubalis)
綿羊,sheep,,,,,,,9/8/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,牛科,Bovidae,羊亞科,Caprinae,羊屬,Ovis,綿羊,Ovis aries,綿羊：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 勞亞獸總目(Laurasiatheria) > 鯨偶蹄目(Cetartiodactyla) > 牛科(Bovidae) > 羊亞科(Caprinae) > 羊屬(Ovis) > 綿羊(Ovis aries)
梅花鹿,,,,,,,,1/30/19,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,鹿科,Cervidae,鹿亞科,Cervinae,鹿屬,Cervus,梅花鹿,Cervus nippon,梅花鹿：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 勞亞獸總目(Laurasiatheria) > 鯨偶蹄目(Cetartiodactyla) > 鹿科(Cervidae) > 鹿亞科(Cervinae) > 鹿屬(Cervus) > 梅花鹿(Cervus nippon)
豬,pig,,,,,,,8/27/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,鯨偶蹄目,Cetartiodactyla,豬科,Suidae,,,豬屬,Sus,野豬,Sus scrofa,豬：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 勞亞獸總目(Laurasiatheria) > 鯨偶蹄目(Cetartiodactyla) > 豬科(Suidae) > 豬屬(Sus) > 野豬(Sus scrofa)
馬,horse,,,,,,,3/8/19,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,奇蹄目,Perissodactyla,馬科,Equidae,,,馬屬,Equus,馬,Equus caballus,馬：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 勞亞獸總目(Laurasiatheria) > 奇蹄目(Perissodactyla) > 馬科(Equidae) > 馬屬(Equus) > 馬(Equus caballus)
驢,donkey,,,,,,,11/19/18,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,哺乳綱,Mammalia,勞亞獸總目,Laurasiatheria,奇蹄目,Perissodactyla,馬科,Equidae,,,馬屬,Equus,驢,Equus asinus,驢：眞核域(Eukaryota) > 動物界(Metazoa) > 脊索動物門(Chordata) > 脊椎動物(Vertebrata) > 哺乳綱(Mammalia) > 勞亞獸總目(Laurasiatheria) > 奇蹄目(Perissodactyla) > 馬科(Equidae) > 馬屬(Equus) > 驢(Equus asinus)
海蜇,,,,,,,,10/9/18,眞核域,Eukaryota,動物界,Metazoa,刺胞動物門,Cnidaria,,,缽水母綱,Scyphozoa,,,根口水母目,Rhizostomeae,根口水母科,Rhizostomatidae,,,,,,,海蜇：眞核域(Eukaryota) > 動物界(Metazoa) > 刺胞動物門(Cnidaria) > 缽水母綱(Scyphozoa) > 根口水母目(Rhizostomeae) > 根口水母科(Rhizostomatidae)
海膽,,,,,,,,9/24/18,眞核域,Eukaryota,動物界,Metazoa,棘皮動物門,Echinodermata,,,海膽綱,Echinoidea,,,,,,,,,,,,,海膽：眞核域(Eukaryota) > 動物界(Metazoa) > 棘皮動物門(Echinodermata) > 海膽綱(Echinoidea)
刺蔘/遼蔘,,,,,,,,9/27/18,眞核域,Eukaryota,動物界,Metazoa,棘皮動物門,Echinodermata,,,海蔘綱,Holothuroidea,楯手亞綱,Aspidochirotacea,楯手目,Aspidochirotida,刺蔘科,Stichopodidae,,,倣刺蔘屬,Apostichopus,刺蔘,Apotichopus japonicus,刺蔘/遼蔘：眞核域(Eukaryota) > 動物界(Metazoa) > 棘皮動物門(Echinodermata) > 海蔘綱(Holothuroidea) > 楯手亞綱(Aspidochirotacea) > 楯手目(Aspidochirotida) > 刺蔘科(Stichopodidae) > 倣刺蔘屬(Apostichopus) > 刺蔘(Apotichopus japonicus)
象鼻蚌,,,,,,,,8/31/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,海螂目,Myoida,縫棲蛤科,Hiatellidae,,,海神蛤屬,Panopea,太平洋潛泥蛤,Panopea generosa,象鼻蚌：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 海螂目(Myoida) > 縫棲蛤科(Hiatellidae) > 海神蛤屬(Panopea) > 太平洋潛泥蛤(Panopea generosa)
鳥貝,,,,,,,,11/15/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,鳥尾蛤科,Cardiidae,,,？屬,Keenocardium,加州扁鳥蛤,Keenocardium californiense,鳥貝：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 鳥尾蛤科(Cardiidae) > ？屬(Keenocardium) > 加州扁鳥蛤(Keenocardium californiense)
蜆,,,,,,,,12/9/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,蜆科,Corbiculidae,,,蜆屬,Corbicula,,,蜆：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 蜆科(Corbiculidae) > 蜆屬(Corbicula)
黃蜆子,,ばかがひ,,,,,,12/11/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,馬珂蛤科,Mactridae,,,馬珂蛤屬,Mactra,中華馬珂蛤,Mactra chinensis,黃蜆子：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 馬珂蛤科(Mactridae) > 馬珂蛤屬(Mactra) > 中華馬珂蛤(Mactra chinensis)
北極貝,,北寄がひ,,,,,,9/19/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,馬珂蛤科,Mactridae,,,擬心蛤屬,Pseudocardium,庫䈎島馬珂蛤,Pseudocardium sachalinense,北極貝：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 馬珂蛤科(Mactridae) > 擬心蛤屬(Pseudocardium) > 庫䈎島馬珂蛤(Pseudocardium sachalinense)
蟶子,,,,,,,,9/1/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,毛蟶科,Solecurtidae,,,螠蟶屬,Sinonovacula,螠蟶,Sinonovacula constricta,蟶子：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 毛蟶科(Solecurtidae) > 螠蟶屬(Sinonovacula) > 螠蟶(Sinonovacula constricta)
竹蟶,,,,,,,,11/9/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,竹蟶科,Solenidae,,,竹蟶屬,Solen,竹蟶,Solen strictus,竹蟶：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 竹蟶科(Solenidae) > 竹蟶屬(Solen) > 竹蟶(Solen strictus)
紅心蛤,smooth clam,,,,,,,12/19/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,簾蛤科,Veneridae,,,仙女蛤屬,Callista,？,Callista chione,紅心蛤：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 簾蛤科(Veneridae) > 仙女蛤屬(Callista) > ？(Callista chione)
普通文蛤,,,,,,,,12/16/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,簾蛤科,Veneridae,,,文蛤屬,Meretrix,麗文蛤,Meretrix lusoria,普通文蛤：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 簾蛤科(Veneridae) > 文蛤屬(Meretrix) > 麗文蛤(Meretrix lusoria)
花蛤,,,,,,,,8/31/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,簾蛤科,Veneridae,,,花簾蛤屬,Ruditapes,,,花蛤：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 簾蛤科(Veneridae) > 花簾蛤屬(Ruditapes)
紫石房蛤/天鵝蛋,,,,,,,,12/11/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,異齒亞綱,Heterodonta,簾蛤目,Veneroida,簾蛤科,Veneridae,,,石房蛤屬,Saxidomus,紫石房蛤,Saxidomus purpuratus,紫石房蛤/天鵝蛋：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 異齒亞綱(Heterodonta) > 簾蛤目(Veneroida) > 簾蛤科(Veneridae) > 石房蛤屬(Saxidomus) > 紫石房蛤(Saxidomus purpuratus)
河蚌,,,,,,,,12/9/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,古異齒亞綱,Palaeoheterodonta,蚌目,Unionoida,蚌科,Unionidae,蚌亞科,Unioninae,中國無齒蚌屬,Sinanodonta,背角無齒蚌,Sinanodonta woodiana,河蚌：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 古異齒亞綱(Palaeoheterodonta) > 蚌目(Unionoida) > 蚌科(Unionidae) > 蚌亞科(Unioninae) > 中國無齒蚌屬(Sinanodonta) > 背角無齒蚌(Sinanodonta woodiana)
青口,Asian green mussel,,,,,,,10/26/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,翼形亞綱,Pteriomorphia,貽貝目,Mytiloida,貽貝科,Mytilidae,貽貝亞科,Mytilinae,股貽貝屬,Perna,青口,Perna viridis,青口：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 翼形亞綱(Pteriomorphia) > 貽貝目(Mytiloida) > 貽貝科(Mytilidae) > 貽貝亞科(Mytilinae) > 股貽貝屬(Perna) > 青口(Perna viridis)
扇貝,,,,,,,,9/24/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,翼形亞綱,Pteriomorphia,海扇蛤目,Pectinoida,海扇蛤科,Pectinidae,,,,,,,扇貝：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 翼形亞綱(Pteriomorphia) > 海扇蛤目(Pectinoida) > 海扇蛤科(Pectinidae)
江珧/帶子,,,,,,,,11/16/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,翼形亞綱,Pteriomorphia,鶯蛤目,Pterioida,江珧蛤科,Pinnidae,,,曲江珧蛤屬,Atrina,中國江珧,Atrina chinensis,江珧/帶子：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 翼形亞綱(Pteriomorphia) > 鶯蛤目(Pterioida) > 江珧蛤科(Pinnidae) > 曲江珧蛤屬(Atrina) > 中國江珧(Atrina chinensis)
牡蠣/生蠔,,,,,,,,10/13/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,雙殼綱,Bivalvia,翼形亞綱,Pteriomorphia,牡蠣目,Ostreoida,牡蠣科,Ostreidae,,,,,,,牡蠣/生蠔：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 雙殼綱(Bivalvia) > 翼形亞綱(Pteriomorphia) > 牡蠣目(Ostreoida) > 牡蠣科(Ostreidae)
章魚,octopus,たこ,,,,,,10/4/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,頭足綱,Cephalopoda,鮹亞綱,Coleoidea,八腕目,Octopoda,,,,,,,,,章魚：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 頭足綱(Cephalopoda) > 鮹亞綱(Coleoidea) > 八腕目(Octopoda)
墨魚,cuttlefish,,,,,,,10/26/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,頭足綱,Cephalopoda,鮹亞綱,Coleoidea,墨魚目,Sepiida,墨魚科,Sepiidae,,,,,,,墨魚：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 頭足綱(Cephalopoda) > 鮹亞綱(Coleoidea) > 墨魚目(Sepiida) > 墨魚科(Sepiidae)
小管,,,,,,,,8/31/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,頭足綱,Cephalopoda,鮹亞綱,Coleoidea,管魷目,Teuthida,槍烏鰂科,Loliginidae,,,槍烏鰂屬,Loligo,小管槍烏鰂,Loligo oshimai,小管：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 頭足綱(Cephalopoda) > 鮹亞綱(Coleoidea) > 管魷目(Teuthida) > 槍烏鰂科(Loliginidae) > 槍烏鰂屬(Loligo) > 小管槍烏鰂(Loligo oshimai)
螺螄,,,,,,,,9/23/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,新進腹足亞綱,Caenogastropoda,主扭舌目,Architaenioglossa,田螺科,Viviparidae,,,,,,,螺螄：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 腹足綱(Gastropoda) > 新進腹足亞綱(Caenogastropoda) > 主扭舌目(Architaenioglossa) > 田螺科(Viviparidae)
花螺/深溝鳳螺,,,,,,,,12/22/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,新進腹足亞綱,Caenogastropoda,新腹足目,Neogastropoda,峨螺科,Buccinidae,,,鳳螺屬,Babylonia,深溝鳳螺,Babylonia spirata,花螺/深溝鳳螺：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 腹足綱(Gastropoda) > 新進腹足亞綱(Caenogastropoda) > 新腹足目(Neogastropoda) > 峨螺科(Buccinidae) > 鳳螺屬(Babylonia) > 深溝鳳螺(Babylonia spirata)
泥螺,,,,,,,,12/27/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,異鰓亞綱,Heterobranchia,頭楯目,Cephalaspidea,泡螺科,Haminoeidae,,,泥螺屬,Bullacta,泥螺,Bullacta exarata,泥螺：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 腹足綱(Gastropoda) > 異鰓亞綱(Heterobranchia) > 頭楯目(Cephalaspidea) > 泡螺科(Haminoeidae) > 泥螺屬(Bullacta) > 泥螺(Bullacta exarata)
非洲大蝸牛,,,,,,,,11/3/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,異鰓亞綱,Heterobranchia,柄眼目,Stylommatophora,瑪瑙螺科,Achatinidae,,,瑪瑙螺屬,Achatina,褐雲瑪瑙螺,Achatina fulica,非洲大蝸牛：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 腹足綱(Gastropoda) > 異鰓亞綱(Heterobranchia) > 柄眼目(Stylommatophora) > 瑪瑙螺科(Achatinidae) > 瑪瑙螺屬(Achatina) > 褐雲瑪瑙螺(Achatina fulica)
鮑魚,,,,,,,,9/28/18,眞核域,Eukaryota,動物界,Metazoa,輭體動物門,Mollusca,,,腹足綱,Gastropoda,古腹足亞綱,Vetigastropoda,小笠螺目,Lepetellida,鮑科,Haliotidae,,,鮑屬,Haliotis,,,鮑魚：眞核域(Eukaryota) > 動物界(Metazoa) > 輭體動物門(Mollusca) > 腹足綱(Gastropoda) > 古腹足亞綱(Vetigastropoda) > 小笠螺目(Lepetellida) > 鮑科(Haliotidae) > 鮑屬(Haliotis)
海茸,,,,,,,,9/14/18,眞核域,Eukaryota,不等鞭毛類,Stramenopiles,,,,,褐藻綱,Phaeophyceae,,,墨角藻目,Fucales,海茸科,Durvillaeaceae,,,海茸屬,Durvillaea,海茸,Durvillaea antarctica,海茸：眞核域(Eukaryota) > 不等鞭毛類(Stramenopiles) > 褐藻綱(Phaeophyceae) > 墨角藻目(Fucales) > 海茸科(Durvillaeaceae) > 海茸屬(Durvillaea) > 海茸(Durvillaea antarctica)
裙帶菜,,,,,,,,9/12/18,眞核域,Eukaryota,不等鞭毛類,Stramenopiles,,,,,褐藻綱,Phaeophyceae,,,海帶目,Laminariales,翅藻科,Alariaceae,,,裙帶菜屬,Undaria,裙帶菜,Undaria pinnatifida,裙帶菜：眞核域(Eukaryota) > 不等鞭毛類(Stramenopiles) > 褐藻綱(Phaeophyceae) > 海帶目(Laminariales) > 翅藻科(Alariaceae) > 裙帶菜屬(Undaria) > 裙帶菜(Undaria pinnatifida)
海帶/昆布,,,,,,,,8/27/18,眞核域,Eukaryota,不等鞭毛類,Stramenopiles,,,,,褐藻綱,Phaeophyceae,,,海帶目,Laminariales,,,,,,,,,海帶/昆布：眞核域(Eukaryota) > 不等鞭毛類(Stramenopiles) > 褐藻綱(Phaeophyceae) > 海帶目(Laminariales)
